rule_id,group,logic_name,logic_type,input_nodes,condition,delay,reset_hysteresis,output_nodes_or_tags,output_class,input_group_id,validation_status,source_basis
AL-GT-FLOW-L,GT Exhaust,GT exhaust flow low,ALARM,vppGTExhaustMassFlowState,value < 545 kg/s,0.2 s,+6 kg/s,GT.EXHAUST.FLOW.L,DERIVED_ALARM,IG-001,PARTIAL,Current DCS alarm rule; RAW input node exists
AL-GT-FLOW-LL,GT Exhaust,GT exhaust flow low-low,ALARM,vppGTExhaustMassFlowState,value < 300 kg/s,0.2 s,+6 kg/s,GT.EXHAUST.FLOW.LL,DERIVED_ALARM,IG-001,PARTIAL,Current DCS alarm rule; RAW input node exists
AL-GT-TEMP-L,GT Exhaust,GT exhaust temperature low,ALARM,vppGTExhaustTemperatureK,value < 805 K,0.2 s,+5 K,GT.EXHAUST.TEMP.L,DERIVED_ALARM,IG-002,PARTIAL,Current DCS alarm rule; RAW input node exists
AL-GT-TEMP-LL,GT Exhaust,GT exhaust temperature low-low,ALARM,vppGTExhaustTemperatureK,value < 580 K,0.2 s,+5 K,GT.EXHAUST.TEMP.LL,DERIVED_ALARM,IG-002,PARTIAL,Current DCS alarm rule; RAW input node exists
AL-HP-FLOW-L,HP Steam Flow,HP turbine steam flow L,ALARM,vppHPTurbineSteamFlowTH,value < 486 t/h,0.2 s,10.8 t/h,HRSG.HP.STEAM.FLOW.L,DERIVED_ALARM,IG-005,PARTIAL,Current DCS alarm rule; RAW node is vpp*TurbineSteamFlowTH; threshold converted exactly from kg/s × 3.6
AL-HP-FLOW-LL,HP Steam Flow,HP turbine steam flow LL,ALARM,vppHPTurbineSteamFlowTH,value < 324 t/h,0.2 s,10.8 t/h,HRSG.HP.STEAM.FLOW.LL,DERIVED_ALARM,IG-005,PARTIAL,Current DCS alarm rule; RAW node is vpp*TurbineSteamFlowTH; threshold converted exactly from kg/s × 3.6
AL-HP-LEVEL-H,HP Drum,HP drum level H,ALARM,vppHPDrumLevelM,value > 1.15 m,0.5 s,0.02 m,HRSG.HP.DRUM.LEVEL.H,DERIVED_ALARM,IG-003,PARTIAL,Current DCS alarm rule; RAW input node exists
AL-HP-LEVEL-HH,HP Drum,HP drum level HH,ALARM,vppHPDrumLevelM,value > 1.25 m,0.5 s,0.02 m,HRSG.HP.DRUM.LEVEL.HH,DERIVED_ALARM,IG-003,PARTIAL,Current DCS alarm rule; RAW input node exists
AL-HP-LEVEL-L,HP Drum,HP drum level L,ALARM,vppHPDrumLevelM,value < 0.95 m,0.5 s,0.02 m,HRSG.HP.DRUM.LEVEL.L,DERIVED_ALARM,IG-003,PARTIAL,Current DCS alarm rule; RAW input node exists
AL-HP-LEVEL-LL,HP Drum,HP drum level LL,ALARM,vppHPDrumLevelM,value < 0.85 m,0.5 s,0.02 m,HRSG.HP.DRUM.LEVEL.LL,DERIVED_ALARM,IG-003,PARTIAL,Current DCS alarm rule; RAW input node exists
AL-HP-PRESS-L,HP Drum,HP drum pressure L,ALARM,vppHPDrumPressurePa,value < 12000000 Pa,0.5 s,200000 Pa,HRSG.HP.DRUM.PRESS.L,DERIVED_ALARM,IG-004,PARTIAL,Current DCS alarm rule; RAW input node exists
AL-HP-PRESS-LL,HP Drum,HP drum pressure LL,ALARM,vppHPDrumPressurePa,value < 10800000 Pa,0.5 s,200000 Pa,HRSG.HP.DRUM.PRESS.LL,DERIVED_ALARM,IG-004,PARTIAL,Current DCS alarm rule; RAW input node exists
AL-IP-FLOW-L,IP Steam Flow,IP turbine steam flow L,ALARM,vppIPTurbineSteamFlowTH,value < 576 t/h,0.2 s,10.8 t/h,HRSG.IP.STEAM.FLOW.L,DERIVED_ALARM,IG-008,PARTIAL,Current DCS alarm rule; RAW node is vpp*TurbineSteamFlowTH; threshold converted exactly from kg/s × 3.6
AL-IP-FLOW-LL,IP Steam Flow,IP turbine steam flow LL,ALARM,vppIPTurbineSteamFlowTH,value < 378 t/h,0.2 s,10.8 t/h,HRSG.IP.STEAM.FLOW.LL,DERIVED_ALARM,IG-008,PARTIAL,Current DCS alarm rule; RAW node is vpp*TurbineSteamFlowTH; threshold converted exactly from kg/s × 3.6
AL-IP-LEVEL-H,IP Drum,IP drum level H,ALARM,vppIPDrumLevelM,value > 1.15 m,0.5 s,0.02 m,HRSG.IP.DRUM.LEVEL.H,DERIVED_ALARM,IG-006,PARTIAL,Current DCS alarm rule; RAW input node exists
AL-IP-LEVEL-HH,IP Drum,IP drum level HH,ALARM,vppIPDrumLevelM,value > 1.25 m,0.5 s,0.02 m,HRSG.IP.DRUM.LEVEL.HH,DERIVED_ALARM,IG-006,PARTIAL,Current DCS alarm rule; RAW input node exists
AL-IP-LEVEL-L,IP Drum,IP drum level L,ALARM,vppIPDrumLevelM,value < 0.95 m,0.5 s,0.02 m,HRSG.IP.DRUM.LEVEL.L,DERIVED_ALARM,IG-006,PARTIAL,Current DCS alarm rule; RAW input node exists
AL-IP-LEVEL-LL,IP Drum,IP drum level LL,ALARM,vppIPDrumLevelM,value < 0.85 m,0.5 s,0.02 m,HRSG.IP.DRUM.LEVEL.LL,DERIVED_ALARM,IG-006,PARTIAL,Current DCS alarm rule; RAW input node exists
AL-IP-PRESS-L,IP Drum,IP drum pressure L,ALARM,vppIPDrumPressurePa,value < 2550000 Pa,0.5 s,50000 Pa,HRSG.IP.DRUM.PRESS.L,DERIVED_ALARM,IG-007,PARTIAL,Current DCS alarm rule; RAW input node exists
AL-IP-PRESS-LL,IP Drum,IP drum pressure LL,ALARM,vppIPDrumPressurePa,value < 2300000 Pa,0.5 s,50000 Pa,HRSG.IP.DRUM.PRESS.LL,DERIVED_ALARM,IG-007,PARTIAL,Current DCS alarm rule; RAW input node exists
AL-LP-FLOW-L,LP Steam Flow,LP turbine steam flow L,ALARM,vppLPTurbineSteamFlowTH,value < 630 t/h,0.2 s,10.8 t/h,HRSG.LP.STEAM.FLOW.L,DERIVED_ALARM,IG-011,PARTIAL,Current DCS alarm rule; RAW node is vpp*TurbineSteamFlowTH; threshold converted exactly from kg/s × 3.6
AL-LP-FLOW-LL,LP Steam Flow,LP turbine steam flow LL,ALARM,vppLPTurbineSteamFlowTH,value < 424.8 t/h,0.2 s,10.8 t/h,HRSG.LP.STEAM.FLOW.LL,DERIVED_ALARM,IG-011,PARTIAL,Current DCS alarm rule; RAW node is vpp*TurbineSteamFlowTH; threshold converted exactly from kg/s × 3.6
AL-LP-LEVEL-H,LP Drum,LP drum level H,ALARM,vppLPDrumLevelM,value > 1.85 m,0.5 s,0.02 m,HRSG.LP.DRUM.LEVEL.H,DERIVED_ALARM,IG-009,PARTIAL,Current DCS alarm rule; RAW input node exists
AL-LP-LEVEL-HH,LP Drum,LP drum level HH,ALARM,vppLPDrumLevelM,value > 1.95 m,0.5 s,0.02 m,HRSG.LP.DRUM.LEVEL.HH,DERIVED_ALARM,IG-009,PARTIAL,Current DCS alarm rule; RAW input node exists
